Team,Ranking,Region,Conference,NET,Prev_NET,Avg_Opp_NET_Rank,Avg_Opp_NET,Win,Loss,GP,WinPct,NET_SOS,NET_NonConf_SOS,Q1_Win,Q1_Loss,Q2_Win,Q2_Loss,Q3_Win,Q3_Loss,Q4_Wins,Q4_Loss,Field_Goal_Opp_Rank,OPP_FG,OPP_FGA,OPP_FG%,Fied_Goal_Rank,FGM,FGA,FG%,Free_Throw_Rank,FT,FTA,FT_Pct,Threes_Rank,GM,3FG,3FGA,3FG%,Scoring_Margin_Rank,PTS,PPG,OPP_PTS,OPP_PPG,SCR_MAR,Rebound_Rank,ORebs,DRebs,REB,RPG,Assist-Turnover_Rank,AST,TO,Ratio
Alabama,1,South,SEC,2,2,6,89,22,3,25,0.88,12,9,7,2,6,1,6,0,3,0,3,814,2189,37.2,177,944,2115,44.6,17,564,777,72.58687259,200,34,342,1012,33.8,8,2794,82.2,2329,68.5,13.7,1,434,1074,1508,44.35,146,517,479,1.08
Arizona,2,South,Pac-12,10,10,51,121,22,4,26,0.846153846,57,47,6,2,5,1,3,1,8,0,36,879,2152,40.8,5,999,2015,49.6,37,521,735,70.88435374,17,34,292,765,38.2,18,2811,82.7,2431,71.5,11.2,9,349,990,1339,39.38,18,652,455,1.43
Arizona St.,11,West,Pac-12,65,65,77,135,18,8,26,0.692307692,86,215,3,2,3,5,5,0,7,-1,15,789,1982,39.8,317,850,2056,41.3,174,436,633,68.87835703,312,34,255,813,31.4,159,2391,70.3,2302,67.7,2.6,68,385,868,1253,36.85,78,484,402,1.2
Arkansas,8,West,SEC,23,23,15,102,17,8,25,0.68,52,102,2,5,4,2,7,1,4,0,68,772,1840,42,30,893,1879,47.5,40,502,728,68.95604396,301,33,168,530,31.7,67,2456,74.4,2224,67.4,7,154,331,831,1162,35.21,186,443,426,1.04
Auburn,9,Midwest,SEC,35,35,26,108,17,8,25,0.68,44,96,2,6,5,2,5,0,5,0,29,735,1807,40.7,210,826,1875,44.1,63,467,665,70.22556391,311,32,208,663,31.4,91,2327,72.7,2146,67.1,5.7,88,375,784,1159,36.22,113,454,399,1.14
Baylor,3,South,Big 12,11,11,8,91,19,6,25,0.76,5,43,8,6,3,0,1,0,7,0,277,815,1798,45.3,176,823,1843,44.7,25,513,685,74.89051095,35,32,310,834,37.2,71,2469,77.2,2248,70.2,6.9,218,373,724,1097,34.28,91,464,394,1.18
Boise St.,10,West,Mountain West,27,27,68,131,18,6,24,0.75,76,172,2,3,5,1,5,1,6,-1,45,776,1880,41.3,122,852,1873,45.5,179,421,573,73.47294939,61,33,259,710,36.5,46,2384,72.2,2123,64.3,7.9,136,287,887,1174,35.58,217,370,370,1
Col. of Charleston,12,South,CAA,59,59,252,210,23,3,26,0.884615385,329,296,0,1,3,0,7,2,13,0,139,875,2029,43.1,220,941,2146,43.8,36,522,704,74.14772727,219,34,343,1027,33.4,10,2747,80.8,2290,67.4,13.4,4,464,913,1377,40.5,103,469,408,1.15
Colgate,15,Midwest,Patriot,101,101,316,232,18,8,26,0.692307692,333,209,0,1,1,0,1,6,16,-1,278,906,1998,45.3,2,1017,1980,51.4,326,355,540,65.74074074,1,34,283,694,40.8,28,2672,78.6,2345,69,9.6,231,270,885,1155,33.97,2,631,346,1.82
Creighton,6,South,Big East,13,13,9,95,17,8,25,0.68,24,30,4,5,4,2,5,1,4,0,85,875,2074,42.2,55,908,1943,46.7,184,419,546,76.73992674,83,33,294,817,36,44,2529,76.6,2260,68.5,8.2,48,279,948,1227,37.18,32,525,384,1.37
