Rebound_Rank,Team,ORebs,DRebs,REB,RPG
1,North Carolina,447,1161,1608,41.2
2,Arizona,429,1102,1531,41.4
3,Kansas,438,1077,1515,37.9
4,Houston,506,976,1482,39.0
5,Duke,410,1069,1479,37.9
6,Purdue,412,1019,1431,38.7
7,Texas A&M,484,939,1423,35.6
8,Arkansas,400,999,1399,37.8
9,BYU,376,999,1375,39.3
10,Auburn,435,939,1374,40.4
11,Washington St.,461,913,1374,37.1
12,Kentucky,440,924,1364,40.1
13,Southern California,399,964,1363,40.1
14,Toledo,362,995,1357,39.9
15,Saint Louis,416,939,1355,38.7
16,Texas Tech,390,957,1347,36.4
17,Iowa,430,913,1343,37.3
18,A&M-Corpus Christi,447,894,1341,38.3
19,Gonzaga,309,1030,1339,41.8
20,McNeese,459,879,1338,40.5
21,UAB,423,915,1338,38.2
22,Creighton,336,999,1335,38.1
23,Xavier,372,963,1335,37.1
24,UConn,455,878,1333,40.4
25,Michigan St.,363,966,1329,36.9
26,Murray St.,425,903,1328,39.1
27,TCU,443,885,1328,39.1
28,Villanova,392,931,1323,34.8
29,Bryant,404,918,1322,41.3
30,FGCU,380,939,1319,38.8
31,Coastal Carolina,400,918,1318,39.9
32,Southern Utah,354,962,1316,37.6
33,Alabama,443,864,1307,39.6
34,Middle Tenn.,381,925,1306,35.3
35,Northern Colo.,292,1010,1302,34.3
36,South Carolina St.,472,824,1296,41.8
37,New Mexico St.,371,924,1295,38.1
38,Utah Valley,351,944,1295,40.5
39,Col. of Charleston,440,851,1291,40.3
40,Tennessee,409,882,1291,36.9
41,San Francisco,366,922,1288,37.9
42,Wake Forest,305,981,1286,36.7
43,UCLA,394,887,1281,36.6
44,Memphis,413,867,1280,38.8
45,Buffalo,425,848,1273,42.4
46,Illinois,379,892,1271,38.5
47,Indiana,319,948,1267,36.2
48,Nicholls,393,874,1267,38.4
49,Colgate,311,955,1266,36.2
50,Baylor,437,827,1264,37.2
51,Chattanooga,378,886,1264,36.1
52,Texas Southern,379,884,1263,39.5
53,Grand Canyon,402,856,1258,40.6
54,LSU,411,846,1257,37.0
55,Wright St.,378,877,1255,34.9
56,Drake,361,888,1249,34.7
57,Oral Roberts,342,907,1249,40.3
58,Eastern Wash.,309,938,1247,36.7
59,Morehead St.,354,892,1246,36.6
60,SMU,313,933,1246,37.8
61,Towson,408,834,1242,36.5
62,Monmouth,355,886,1241,36.5
63,Providence,348,893,1241,37.6
64,South Dakota St.,264,977,1241,35.5
65,Mississippi St.,384,852,1236,36.4
66,Vanderbilt,347,888,1235,34.3
67,Fla. Atlantic,375,859,1234,36.3
68,North Dakota St.,279,955,1234,37.4
69,Portland,286,947,1233,36.3
70,Sam Houston,389,844,1233,37.4
71,Seton Hall,387,846,1233,38.5
72,Dayton,322,910,1232,35.2
73,Louisiana Tech,315,914,1229,36.1
74,Montana St.,305,923,1228,35.1
75,Oregon,367,861,1228,35.1
76,Alcorn,405,821,1226,36.1
77,Cincinnati,380,846,1226,37.2
78,Fresno St.,319,907,1226,34.1
79,Marshall,356,870,1226,37.2
80,UTSA,407,819,1226,38.3
81,Longwood,403,821,1224,37.1
82,Colorado,329,894,1223,37.1
83,Rider,360,863,1223,37.1
84,Western Ill.,369,852,1221,38.2
85,Iona,377,843,1220,37.0
86,Kent St.,353,867,1220,35.9
87,Boise St.,358,861,1219,34.8
88,Boston U.,359,860,1219,34.8
89,Saint Peter's,366,852,1218,35.8
90,Michigan,337,878,1215,35.7
91,Wyoming,281,931,1212,35.6
92,St. John's,383,828,1211,37.8
93,Louisiana,371,834,1205,38.9
94,UNCW,371,834,1205,33.5
95,Bowling Green,379,824,1203,38.8
96,Seattle U,319,884,1203,37.6
97,Western Caro.,374,829,1203,37.6
98,Bradley,350,852,1202,38.8
99,Norfolk St.,326,876,1202,38.8
100,Utah St.,287,914,1201,35.3
101,App State,335,864,1199,35.3
102,Missouri St.,281,918,1199,35.3
103,Syracuse,349,848,1197,36.3
104,Old Dominion,366,830,1196,37.4
105,Ohio,351,844,1195,34.1
106,Richmond,281,914,1195,32.3
107,DePaul,367,827,1194,38.5
108,Navy,383,811,1194,37.3
109,SIUE,375,818,1193,37.3
110,Vermont,248,942,1190,35.0
111,Notre Dame,251,938,1189,34.0
112,Akron,334,854,1188,34.9
113,Troy,358,830,1188,37.1
114,South Carolina,403,784,1187,38.3
115,Tennessee Tech,371,816,1187,37.1
116,Lipscomb,252,934,1186,35.9
117,LIU,354,830,1184,39.5
118,Miami,317,863,1180,36.9
119,Stanford,368,812,1180,36.9
120,Youngstown St.,347,833,1180,34.7
121,Fordham,327,852,1179,36.8
122,Jacksonville St.,310,867,1177,36.8
123,Northern Ariz.,336,841,1177,36.8
124,Rice,292,882,1174,35.6
125,New Orleans,304,868,1172,36.6
126,Santa Clara,252,920,1172,35.5
127,Louisville,319,848,1167,36.5
